name,price,authors,url,image_url,annotation,pages,year,publisher,isbn,category
"React. К вершинам мастерства: cоздание быстрых, производительных и интуитивно понятных веб-приложений",1640,['Кумар Теджас'],https://bhv.ru/product/react-k-vershinam-masterstva-cozdanie-bystryh-proizvoditelnyh-i-intuitivno-ponyatnyh-veb-prilozhenij/,https://bhv.ru/wp-content/uploads/2025/02/3070_978-601-08-4834-4.jpg,"Рассматривается разработка веб-интерфейсов и веб-приложений с использованием React — популярной библиотеки JavaScript для создания пользовательских интерфейсов. Рассмотрены фундаментальные концепции React, такие как синтаксис JSX, виртуальный DOM, алгоритм согласования и передовые методы оптимизации. Благодаря простым и наглядным примерам, книга помогает понять работу React как на базовом, так и на продвинутом уровне, оптимизировать код и использовать различные механизмы React. Книга поможет овладеть навыками написания интуитивно понятного кода и максимально эффективно использовать все возможности React для создания современных веб-приложений.",368,2025-03-03,БХВ,978-601-08-4834-4,['Компьютеры и программы']
Rust. Профессиональное программирование,1279,['Мэтьюз Бренден'],https://bhv.ru/product/rust-professionalnoe-programmirovanie/,https://bhv.ru/wp-content/uploads/2025/02/3100_978-601-08-4833-7.jpg,"Книга служит введением в продвинутые темы, необходимые для реализации полнофункциональных проектов на языке Rust. Rust рассматривается как сравнительно новый, но мощный и зрелый язык для серверного программирования.   Рассмотрены паттерны проектирования, характерные для Rust, роль Rust в современном низкоуровневом программировании, приемы асинхронных взаимодействий и управление памятью. Проиллюстрированы способы создания HTTP REST API на Rust, интеграция кода Rust с кодом на других языках, типичные идиомы и структуры данных, применяемые при профессиональной работе с Rust.",320,2025-03-27,БХВ,978-601-08-4833-7,['Компьютеры и программы']
Spring и Spring Boot. Разработка облачных приложений на Java,1332,['Урванов Федор Владиславович'],https://bhv.ru/product/spring-i-spring-boot-razrabotka-oblachnyh-prilozhenij-na-java/,https://bhv.ru/wp-content/uploads/2025/01/3064_978-5-9775-2049-2.jpg,"В книге рассмотрено актуальное состояние  технологий Spring и Spring Boot, помогающих шире раскрыть возможности языка Java и аспектно-ориентированного программирования. Пошагово объяснено, как самостоятельно написать и развернуть облачный проект под управлением Spring. Рассказано о координации микросервисов на Java с применением Spring и модуля Spring Core способах внедрения зависимостей, аннотировании кода. На примере сквозного веб-приложения описаны важнейшие приемы работы с данными в стиле REST, тестирование данных, обеспечение согласованности, безопасности и долговременного хранения данных в приложении.",384,2025-02-19,БХВ,978-5-9775-2049-2,['Компьютеры и программы']
Искусственный интеллект для периферийных устройств: осваиваем встраиваемые системы для машинного обучения,2152,"['Планкетт Дженни', 'Ситунаяке Дэниел']",https://bhv.ru/product/iskusstvennyj-intellekt-dlya-periferijnyh-ustrojstv-osvaivaem-vstraivaemye-sistemy-dlya-mashinnogo-obucheniya/,https://bhv.ru/wp-content/uploads/2025/01/3025_978-601-08-4727-9.jpg,"В книге исследованы возможности использования искусственного интеллекта при работе с периферийными устройствами, датчиками и Интернетом вещей. Рассмотрены алгоритмы, применяемые при реализации периферийного ИИ, паттерны проектирования программных и аппаратных компонентов Интернета вещей, рассчитанных на последующее машинное обучение. Продемонстрировано, как подбирать и фильтровать данные, развертывать, развивать и поддерживать сети умных устройств.",512,2025-02-14,БХВ,978-601-08-4727-9,['Компьютеры и программы']
"Elasticsearch в действии, 2-е издание",2058,['Конда Мадхусудхан'],https://bhv.ru/product/elasticsearch-v-dejstvii-2-e-izdanie/,https://bhv.ru/wp-content/uploads/2025/01/3040_978-601-08-4524-4.jpg,"Исчерпывающее руководство по Elasticsearch - популярной поисковой системе, позволяющей в реальном времени работать с большими объемами данных. Книга содержит практические советы по внедрению современных поисковых функций в приложение или сайт с помощью Elasticsearch 8 и свободной программной панели визуализации данных Kibana. Подробно описаны процессы индексации данных, поиск по полнотекстовым запросам, работа с запросами на уровне терминов и составных запросов, а также анализа и агрегации данных. Книга также затрагивает архитектуру Elasticsearch, механизмы маппинга данных, работу с документами, операции индексации, визуализацию с помощью Kibana, создание кластеров и многие другие аспекты. Это исчерпывающее пособие для тех, кто хочет глубоко погрузиться в мир поисковых систем и использовать Elasticsearch в своих проектах.",656,2025-03-18,БХВ,978-601-08-4524-4,['Компьютеры и программы']
Машинное обучение  с малым объемом кодирования: практическое введение в искусственный интеллект на основе проектов,1230,"['Абель Майкл', 'Стриплинг Гвендолин']",https://bhv.ru/product/mashinnoe-obuchenie-s-malym-obemom-kodirovaniya-prakticheskoe-vvedenie-v-iskusstvennyj-intellekt-na-osnove-proektov/,https://bhv.ru/wp-content/uploads/2025/01/3059_978-601-08-4725-5.jpg,"В книге подробно представлены три проблемно-ориентированных вида машинного обучения (Machine learning, ML): автоматизированное обучение AutoML без кодирования, обучение BigQuery ML с малым объемом кодирования и обучение с применением пользовательского кода на основе библиотек scikit-learn и Keras. При этом от читателя не требуется глубоких предварительных знаний в ML или программировании, но базовые навыки в этих областях будут полезны. Специализированные библиотеки, фреймворки ML, репозиторий GitHub и другие инструменты описаны по мере их необходимости. В каждом конкретном случае клю-чевые концепции ML раскрыты с использованием реальных наборов данных для решения реальных задач. Рассмотрено применение AutoML для прогнозирования продаж, использова-ние BigQuery ML для обучения линейных регрессионных моделей, обучение пользователь-ских ML-моделей на Python для прогнозирования оттока клиентов и ряд других популярных бизнес-кейсов.",296,2025-01-22,БХВ,978-601-08-4725-5,"['Компьютеры и программы', 'Компьютерное моделирование, искусственный интеллект', 'Искусственный интеллект, экспертные системы']"
Самоучитель КОМПАС-3D V23,1897,['Герасимов Анатолий Александрович'],https://bhv.ru/product/samouchitel-kompas-3d-v23/,https://bhv.ru/wp-content/uploads/2024/11/3065_978-5-9775-2040-9.jpg,"Самоучитель позволяет в короткие сроки освоить систему КОМПАС-3D V23. Даны инструкции по оптимальной настройке программы, предложены способы построения геометрических объектов, создания моделей деталей и сборок, оформления конструкторской документации с помощью редактора КОМПАС-График. Рассматриваются создание и редактирование чертежей, в том числе, сборочных чертежей и спецификаций, принципы конструирования и моделирования в КОМПАС-3D, создание сложных объектов. Представлены способы обеспечения точности построения. Изучается проектирование листовых деталей. Особое внимание уделено использованию библиотек, модулей и приложений системы. Подробно рассматривается поверхностное моделирование и методы создания поверхностей. Большое количество примеров и иллюстраций позволит быстро изучить программу и освоить возможности версии 20. На сайте издательства находятся примеры чертежей, эскизы и 3D-модели.",672,2025-01-22,БХВ,978-5-9775-2040-9,['Компьютеры и программы']
Студия красоты. Профессиональные фото без Photoshop,1537,"['Шалина Анастасия Павловна', 'Молочков Владимир Петрович']",https://bhv.ru/product/studiya-krasoty-professionalnye-foto-bez-photoshop/,https://bhv.ru/wp-content/uploads/2024/11/3103_978-5-9775-2031-7.jpg,"Книга представляет собой  практическое руководство для тех, кто хочет освоить искусство создания качественных, привлекательных фотографий без использования сложных дорогостоящих графических редакторов и длительного обучения. В ней собраны основные знания о цифровых изображениях, принципах композиции, цветокоррекции и форматах файлов. Даны пошаговые инструкции по работе с бесплатными фоторедакторами и нейросетями, рассмотрены способы улучшения портретов, устранения дефектов, базовые приемы ретуши. Описаны способы составления коллажей, создания визиток, слайд-шоу, реставрации старых снимков, создания стилизованных изображений. Уделено внимание обработке фотографий для публикации в социальных сетях ВКонтакте и Одноклассники, созданию фотоальбомов и аватаров. Отдельные главы посвящены обработке фотографий на устройствах iPhone и Android с использованием встроенных возможностей ОС и приложения Adobe Lightroom для мобильных устройств.",264,2025-01-29,БХВ,978-5-9775-2031-7,"['Компьютеры и программы', 'Разработка веб-приложений', 'Веб-дизайн']"
Реагирование на инциденты на основе аналитических данных. 2-е издание,1640,"['Браун Ребекка', 'Скотт Дж. Робертс']",https://bhv.ru/product/reagirovanie-na-intsidenty-na-osnove-analiticheskih-dannyh-2-e-izdanie/,https://bhv.ru/wp-content/uploads/2024/11/3030_978-601-08-4608-1.jpg,"Книга рассматривает практические аспекты реагирования на инциденты информационной безопасности и анализа киберугроз. Подробно изложена теория исследования угроз, рассмотрены основы аналитической деятельности специалиста по информационной безопасности, описаны протоколы реагирования на инциденты на основе аналитических данных (Intelligence-Driven Incident Response, IDIR). Наглядно с практическими примерами рассматривается модель F3EAD — Поиск, Фиксация, Завершение, Эксплойт, Анализ и Распространение (Find, Fix, Finish, Exploit, Analyze, and Disseminate). Уделено внимание стратегической аналитической деятельности и построению эффективной команды аналитиков.

Для специалистов по информационной безопасности",346,2024-12-26,БХВ,978-601-08-4608-1,"['Компьютеры и программы', 'Сети, администрирование, безопасность', 'Безопасность']"
"SEO — искусство раскрутки сайтов, 4 изд.",1947,"['Спенсер Стефан', 'Стрикчиола Джесси', 'Энж Эрик']",https://bhv.ru/product/seo-iskusstvo-raskrutki-sajtov-4-izd/,https://bhv.ru/wp-content/uploads/2024/11/3033_978-601-08-4525-1.jpg,"Полное и подробное руководство по  поисковой оптимизации (SEO) для специалистов по раскрутке сайтов всех уровней. Изложены основы работы поисковых движков и цели оптимизации. Последовательно рассмотрены самые важные для бизнеса аспекты SEO, начиная с разработки сайта, подбора ключевых слов, создания контента и заканчивая вертикальной оптимизацией с анализом эффективности и последующим перепроектированием сайта. Отдельные главы посвящены задачам обучения SEO, созданию компетентной команды SEO-специалистов и перспективам развития SEO.

Четвертое издание дополнено множеством эффективных тактик, от базовых до продвинутых. Описаны обновленные инструменты SEO, новые методы оптимизации и новые средства, включая генеративный искусственный интеллект, которые изменили ландшафт поисковой оптимизации. Новичков ждет полный курс SEO с самого нуля, а опытные специалисты узнают о новых механизмах в практике поисковой оптимизации и получат обширный справочник SEO-специалиста.",784,2024-12-18,БХВ,978-601-08-4525-1,['Компьютеры и программы']
React 19. Разработка веб-приложений на JavaScript,1319,['Дронов Владимир Александрович'],https://bhv.ru/product/react-19-razrabotka-veb-prilozhenij-na-javascript/,https://bhv.ru/wp-content/uploads/2024/10/3106_978-5-9775-2036-2.jpg,"Книга посвящена программированию веб-приложений на языке JavaScript с применением популярного веб-фреймворка React 19. В ней учтены все нововведения, появившиеся в React 19 и новых версиях сопутствующих библиотек. Дается вводный курс, наглядно, по шагам описывающий разработку несложного веб-приложения — списка запланированных дел. Описываются базовые инструменты: создание и настройка React-проекта, написание компонентов, обработка событий, передача данных между компонентами и создание веб-форм, взаимодействие с внешними API и бэкендом. Рассматриваются полезные дополнительные библиотеки: React Router (навигация), Redux, React Redux и Redux Toolkit (централизованное хранилище данных), Formik (быстрая разработка веб-форм), Yup (валидация), React Awesome Reveal (анимационные эффекты) и др. Рассказывается о фетчерах данных, анимации, работе с метатегами, разделении кода, обработке ошибок, средствах отладки и публикации готового веб-приложения.",360,2024-12-10,БХВ,978-5-9775-2036-2,['Компьютеры и программы']
Веб-сервер глазами хакера. 4-е изд.,804,['Фленов Михаил Евгеньевич'],https://bhv.ru/product/veb-server-glazami-hakera-4-e-izd/,https://bhv.ru/wp-content/uploads/2024/08/3072_978-5-9775-2023-2.jpg,"Рассмотрена система безопасности веб-серверов и типичные ошибки, совершаемые разработчиками при написании веб-приложений. Приведены примеры взлома реальных сайтов, имеющих уязвимости, в том числе и популярных. В теории и на практике рассмотрены распространенные хакерские атаки: DoS, SQL-инъекции, межсайтовый скриптинг, использование CSRF- и XSS-уязвимости, обход аутентификации и др. Представлены основные приемы защиты от атак и рекомендации по написанию безопасного программного кода, настройка и способы обхода каптчи. В четвертом издании рассмотрены новые примеры реальных ошибок, наиболее актуальные уязвимости, показаны современные виды хакерских атак и методы защиты от них.",372,2024-12-10,БХВ,978-5-9775-2023-2,['Компьютеры и программы']
MySQL. Сборник рецептов. 4-е издание,2357,"['Смирнова Света', 'Тезуйсал Алкин']",https://bhv.ru/product/mysql-sbornik-retseptov-4-e-izdanie/,https://bhv.ru/wp-content/uploads/2024/10/3019_978-601-08-4438-4.jpg,"Рассмотрены готовые рецепты для решения практических задач при работе с СУБД MySQL. Описаны базовые принципы установки соединения с сервером MySQL, получения данных с сервера, выполнения и обработки запросов. Рассказывается о способах сохранять, извлекать и изменять строки, работать с датой и временем, приведены примеры сортировки результатов запросов и создания сводок. Рассматриваются способы оценки характеристик набора данных, создания хранимых функций и процедур. Приведены практические примеры использования хранимых подпрограмм, триггеров и запланированных событий. Отдельное внимание уделено основам мониторинга и приемам администрирования MySQL.",912,2024-11-15,БХВ,978-601-08-4438-4,"['Компьютеры и программы', 'Базы данных', 'MySQL']"
Байесовская оптимизация с примерами из библиотек Python,1127,['Нгуен Куан'],https://bhv.ru/product/bajesovskaya-optimizatsiya-s-primerami-iz-bibliotek-python/,https://bhv.ru/wp-content/uploads/2024/11/3015_978-601-08-4437-7.jpg,"Книга рассказывает об оптимизации моделей машинного обучения на основе байесовского метода и теории вероятностей. Примеры составлены на языке Python с использованием библиотек PyTorch, GPyTorch и BoTorch.  Описаны приёмы настройки гиперпараметров, гауссовское распределение, использование политик машинного обучения, в частности на основе задачи о многоруких бандитах, повышение производительности вычислений, многовариантная оптимизация с учётом полезности и затрат, а также применение байесовского метода в специализированных сценариях.",416,2024-12-12,БХВ,978-601-08-4437-7,['Компьютеры и программы']
